product_id,product_name,price,quantity_available,category,brand,discount_percentage,shipping_method,customer_rating
34,smartwatch,341.32,579,electronics,Apple,30.83,expedited,4.4
35,keyboard,437.81,426,clothing,Nike,4.16,standard,3.2
36,smartwatch,925.05,237,beauty,Sony,33.56,standard,2.0
37,gaming console,391.64,888,home decor,Apple,11.07,express,1.6
38,mouse,299.77,530,home decor,Adidas,25.87,expedited,3.6
39,sunglasses,889.13,189,sports,Sony,38.41,express,3.7
40,smartwatch,453.1,401,beauty,Nike,6.75,express,1.6
41,smartwatch,271.75,645,electronics,Samsung,30.39,standard,1.5
42,headphones,771.72,151,electronics,Sony,11.34,express,4.2
43,mouse,666.07,625,electronics,Adidas,1.56,standard,2.4
44,jeans,836.19,282,sports,Adidas,17.98,expedited,5.0
45,laptop,431.63,112,home decor,Nike,42.16,expedited,3.0
46,tablet,433.27,108,electronics,Nike,13.86,expedited,2.4
47,camera,386.83,602,beauty,Sony,40.1,standard,2.5
48,laptop,21.57,743,beauty,Nike,6.77,express,2.7
49,t-shirt,233.82,268,home decor,Adidas,45.87,standard,3.8
50,backpack,282.84,445,clothing,Adidas,46.64,standard,2.4
51,printer,116.0,793,sports,Adidas,39.06,express,4.9
52,smartwatch,318.77,21,home decor,Adidas,13.31,expedited,3.3
53,tablet,527.01,687,home decor,Adidas,19.11,express,1.4
54,laptop,195.62,990,electronics,Apple,46.37,expedited,3.2
55,printer,374.83,678,electronics,Apple,2.62,express,1.0
56,jeans,829.0,861,sports,Adidas,21.7,express,2.6
57,hat,692.5,546,beauty,Apple,21.41,express,2.8
58,smartphone,797.49,597,clothing,Nike,34.37,express,3.6
59,smartphone,750.94,839,sports,Sony,27.33,standard,2.9
60,scarf,643.21,357,sports,Samsung,15.33,expedited,4.9
61,shoes,881.29,310,beauty,Samsung,5.81,standard,2.5
62,t-shirt,364.27,909,beauty,Nike,4.46,standard,4.9
63,printer,352.68,678,sports,Samsung,28.1,expedited,2.0
64,gaming console,642.31,35,home decor,Samsung,40.94,express,4.6
65,sunglasses,418.21,902,home decor,Sony,49.17,standard,1.8
66,headphones,830.24,368,home decor,Samsung,22.15,expedited,1.8
67,t-shirt,109.69,682,electronics,Nike,38.49,standard,1.7
68,camera,706.64,669,clothing,Nike,26.25,standard,1.8
69,sunglasses,208.07,147,electronics,Sony,12.44,expedited,3.9
70,smartphone,163.53,367,sports,Adidas,24.38,express,2.0
71,t-shirt,128.53,996,electronics,Apple,27.29,expedited,1.3
72,jeans,599.38,688,beauty,Sony,44.0,expedited,4.6
73,t-shirt,776.07,987,electronics,Adidas,33.45,express,3.2
74,gaming console,584.91,699,clothing,Sony,10.56,standard,1.9
75,hat,830.71,545,beauty,Apple,38.18,express,2.7
76,smartphone,981.65,1,home decor,Adidas,38.92,expedited,3.3
77,hat,498.43,919,beauty,Samsung,34.23,express,3.4
78,keyboard,721.18,935,home decor,Adidas,19.47,expedited,4.9
79,hat,224.37,276,home decor,Samsung,3.3,standard,2.7
80,camera,59.56,859,electronics,Apple,18.95,standard,2.5
81,camera,384.12,695,beauty,Apple,36.23,express,4.3
82,smartwatch,220.31,192,beauty,Samsung,20.52,expedited,4.6
83,mouse,548.08,256,electronics,Adidas,43.86,expedited,3.7
84,scarf,229.46,527,clothing,Nike,18.94,standard,3.8
85,keyboard,991.45,191,electronics,Adidas,17.86,express,3.6
86,t-shirt,321.42,281,sports,Adidas,5.28,express,3.7
87,wallet,116.94,406,sports,Nike,37.82,standard,2.6
88,t-shirt,952.81,831,clothing,Adidas,28.83,expedited,2.7
89,shoes,681.84,20,home decor,Apple,36.85,standard,4.0
90,backpack,192.5,281,clothing,Apple,39.41,expedited,1.5
91,laptop,119.94,625,home decor,Samsung,16.17,standard,1.2
92,smartphone,120.27,603,electronics,Sony,14.14,express,2.5
93,dress,35.58,748,home decor,Nike,44.67,express,2.0
94,headphones,920.03,65,home decor,Sony,14.64,standard,3.3
95,sunglasses,967.28,694,sports,Sony,30.24,expedited,4.1
96,hat,837.55,751,clothing,Nike,44.63,standard,1.6
97,tablet,901.03,248,clothing,Sony,8.45,express,4.5
98,camera,771.28,62,electronics,Adidas,42.5,standard,1.9
99,jeans,465.31,503,clothing,Apple,15.81,standard,2.4
100,t-shirt,936.8,951,beauty,Nike,46.39,express,1.7
101,backpack,18.4,99,clothing,Sony,43.6,express,2.1
102,mouse,257.01,389,beauty,Samsung,7.36,expedited,2.9
103,tablet,141.29,59,sports,Sony,30.78,standard,1.9
104,tablet,257.82,470,beauty,Nike,13.36,expedited,1.3
105,camera,81.14,852,clothing,Samsung,35.7,express,1.9
106,dress,227.35,138,beauty,Apple,1.36,standard,3.5
107,camera,503.3,630,clothing,Adidas,47.07,express,2.5
108,camera,473.95,807,clothing,Samsung,31.87,expedited,1.9
109,mouse,99.3,619,clothing,Samsung,49.76,standard,1.8
110,printer,854.25,421,home decor,Sony,23.99,express,3.0
111,smartwatch,82.9,918,sports,Nike,21.14,express,3.8
112,shoes,1.63,677,sports,Apple,3.26,standard,3.2
113,t-shirt,211.98,766,beauty,Apple,33.35,expedited,4.7
114,tablet,550.61,931,beauty,Apple,32.42,express,2.9
115,t-shirt,230.72,696,sports,Nike,17.92,standard,1.6
116,headphones,793.63,78,beauty,Sony,27.29,express,4.2
117,sunglasses,213.62,944,electronics,Samsung,41.25,expedited,2.3
118,jacket,51.25,534,electronics,Apple,15.7,expedited,4.6
119,laptop,656.03,497,home decor,Sony,46.69,express,4.8
120,scarf,958.93,442,beauty,Nike,43.35,expedited,3.9
121,mouse,452.51,273,beauty,Apple,16.02,standard,4.6
122,wallet,799.22,483,home decor,Sony,40.25,standard,4.7
123,camera,454.91,568,home decor,Samsung,12.47,express,3.5
124,printer,198.01,184,sports,Nike,37.48,standard,4.4
125,hat,429.17,357,home decor,Apple,18.71,standard,2.0
126,scarf,642.2,55,sports,Apple,38.83,standard,3.3
127,headphones,108.0,130,clothing,Nike,4.36,express,4.5
128,smartwatch,487.51,65,sports,Adidas,29.51,standard,1.4
129,hat,261.81,796,beauty,Sony,12.0,express,2.9
130,scarf,810.31,604,sports,Sony,8.58,expedited,5.0
131,gaming console,700.68,60,electronics,Adidas,5.02,express,4.2
132,printer,274.44,543,home decor,Nike,36.23,expedited,2.5
133,headphones,386.11,474,home decor,Samsung,37.14,standard,4.7
134,headphones,560.73,212,home decor,Sony,16.83,standard,3.3
135,backpack,998.7,691,home decor,Adidas,44.81,expedited,4.2
136,smartwatch,628.56,73,clothing,Sony,15.87,standard,1.6
137,dress,769.4,39,clothing,Apple,31.5,express,1.8
138,gaming console,255.79,654,electronics,Adidas,10.09,standard,3.6
139,keyboard,825.67,823,sports,Adidas,2.67,expedited,3.8
140,dress,461.84,855,home decor,Nike,11.54,express,3.8
141,smartwatch,730.05,101,sports,Nike,36.58,expedited,1.8
142,camera,869.69,597,sports,Sony,24.89,express,1.7
143,sunglasses,347.38,156,beauty,Adidas,8.51,standard,3.7
144,smartwatch,551.58,536,sports,Apple,30.98,express,2.1
145,headphones,647.67,663,sports,Adidas,6.46,standard,2.0
146,gaming console,412.48,631,beauty,Samsung,44.26,expedited,1.9
147,headphones,727.2,311,clothing,Adidas,20.9,standard,2.0
148,jeans,302.39,892,beauty,Apple,26.68,expedited,2.5
149,shoes,986.22,738,sports,Samsung,42.78,express,4.6
150,mouse,834.6,454,sports,Sony,30.82,standard,3.8
151,t-shirt,874.67,638,home decor,Samsung,49.95,expedited,4.5
152,gaming console,457.58,14,clothing,Adidas,15.01,standard,3.6
153,scarf,251.52,782,beauty,Sony,36.43,express,2.8
154,headphones,868.89,380,home decor,Adidas,0.66,express,2.0
155,scarf,145.59,958,sports,Apple,4.87,express,3.7
156,tablet,966.44,201,electronics,Nike,24.9,expedited,3.5
157,laptop,141.54,660,sports,Sony,25.61,expedited,1.9
158,smartphone,951.15,13,clothing,Apple,49.82,standard,5.0
159,mouse,917.97,970,sports,Apple,47.1,standard,2.0
160,wallet,247.73,907,electronics,Samsung,48.97,expedited,1.5
161,jacket,987.42,60,electronics,Samsung,5.07,standard,1.6
162,mouse,849.29,276,electronics,Nike,26.81,expedited,2.6
163,gaming console,799.21,392,sports,Adidas,47.24,express,2.4
164,laptop,753.97,388,clothing,Adidas,27.29,express,4.8
165,keyboard,951.36,427,electronics,Nike,12.99,express,1.3
166,jacket,533.79,919,clothing,Apple,20.95,express,3.7
167,backpack,640.74,528,clothing,Adidas,43.57,expedited,3.0
168,dress,435.7,812,electronics,Samsung,6.86,standard,1.8
169,hat,996.64,54,beauty,Adidas,38.56,express,2.6
170,keyboard,820.18,827,home decor,Nike,28.43,express,1.1
171,camera,813.41,843,sports,Nike,22.06,standard,4.2
172,wallet,611.64,665,home decor,Sony,28.93,expedited,3.7
173,smartphone,782.63,379,clothing,Sony,22.22,standard,2.1
174,mouse,668.42,86,sports,Samsung,47.56,standard,1.2
175,jacket,679.85,250,beauty,Adidas,20.18,express,2.0
176,shoes,591.81,813,sports,Sony,25.7,expedited,4.6
177,backpack,835.91,608,clothing,Adidas,1.63,expedited,4.5
178,jacket,203.57,210,home decor,Samsung,29.35,express,4.2
179,laptop,547.28,402,electronics,Apple,31.51,expedited,1.5
180,dress,311.04,121,home decor,Sony,23.42,express,1.7
181,hat,280.81,475,electronics,Sony,35.15,expedited,3.4
182,t-shirt,67.35,670,home decor,Adidas,20.57,expedited,2.3
183,t-shirt,750.43,296,electronics,Samsung,5.07,express,3.2
184,smartphone,71.31,682,clothing,Samsung,29.61,expedited,4.6
185,smartphone,77.16,970,clothing,Nike,1.45,standard,2.3
186,jacket,544.14,682,home decor,Nike,25.06,standard,1.3
187,backpack,507.09,710,beauty,Samsung,20.21,express,4.1
188,gaming console,743.07,877,clothing,Samsung,22.46,expedited,2.0
189,scarf,85.97,913,electronics,Nike,40.4,express,4.9
190,tablet,201.91,669,home decor,Sony,12.38,expedited,3.7
191,tablet,34.83,664,sports,Samsung,34.61,standard,3.8
192,smartphone,521.62,653,electronics,Adidas,43.45,standard,1.1
193,jeans,80.07,603,sports,Sony,34.85,standard,2.7
194,mouse,851.51,151,beauty,Samsung,29.38,standard,1.2
195,laptop,97.57,126,beauty,Sony,4.38,expedited,3.9
196,gaming console,427.0,981,sports,Samsung,46.42,expedited,2.8
197,jeans,112.05,886,electronics,Adidas,37.23,express,2.9
198,camera,148.86,640,beauty,Adidas,22.97,express,1.7
199,wallet,235.04,23,sports,Sony,29.58,standard,1.7
200,dress,743.18,101,sports,Sony,11.69,express,2.4
201,jacket,555.51,86,beauty,Samsung,47.85,expedited,2.6
202,shoes,616.2,951,sports,Nike,3.8,expedited,3.3
203,mouse,782.16,171,clothing,Sony,49.24,expedited,3.5
204,hat,676.25,347,beauty,Sony,35.57,expedited,1.6
205,smartphone,337.36,187,sports,Samsung,14.97,expedited,1.0
206,dress,820.12,393,home decor,Nike,28.73,express,4.6
207,scarf,874.08,844,sports,Sony,12.62,expedited,4.1
208,laptop,804.94,459,home decor,Sony,11.07,express,4.4
209,jacket,745.5,293,sports,Samsung,15.47,express,1.7
210,backpack,925.64,860,clothing,Samsung,38.81,express,1.5
211,t-shirt,82.16,589,home decor,Adidas,23.94,express,3.6
212,shoes,944.18,87,clothing,Apple,14.98,express,4.5
213,laptop,830.86,676,sports,Adidas,13.45,express,2.1
214,printer,255.45,812,electronics,Samsung,43.43,express,4.1
215,t-shirt,883.73,781,clothing,Sony,37.25,standard,3.9
216,sunglasses,732.61,118,home decor,Samsung,42.44,express,4.6
217,dress,553.4,458,sports,Apple,32.56,express,1.0
218,camera,653.79,467,beauty,Sony,13.89,expedited,3.5
219,hat,142.71,412,clothing,Adidas,16.62,expedited,3.8
220,jeans,277.21,994,electronics,Adidas,25.9,standard,1.2
221,t-shirt,817.52,194,electronics,Adidas,34.84,expedited,4.4
222,laptop,701.53,473,sports,Apple,20.53,standard,4.8
223,dress,364.79,765,home decor,Sony,7.19,standard,1.6
224,shoes,562.02,557,sports,Apple,27.91,standard,1.0
225,dress,727.59,999,home decor,Apple,40.73,expedited,3.7
226,backpack,385.3,247,sports,Nike,22.99,standard,4.9
227,gaming console,941.39,724,sports,Apple,36.3,expedited,3.2
228,sunglasses,15.82,964,electronics,Sony,36.64,express,1.3
229,headphones,874.93,486,electronics,Apple,34.77,expedited,2.5
230,sunglasses,472.87,479,home decor,Apple,5.45,express,3.0
231,hat,465.34,292,clothing,Samsung,7.08,expedited,1.5
232,gaming console,41.62,182,home decor,Samsung,43.57,standard,4.5
233,wallet,879.46,270,home decor,Sony,38.17,expedited,2.1
234,sunglasses,320.92,63,sports,Nike,47.91,express,1.0
235,smartwatch,296.29,808,beauty,Apple,11.56,standard,1.5
236,keyboard,348.58,841,beauty,Samsung,48.1,expedited,2.9
237,hat,26.83,284,home decor,Apple,20.8,standard,2.5
238,shoes,289.81,471,sports,Apple,21.46,expedited,1.7
239,gaming console,513.79,650,electronics,Nike,29.4,express,1.7
240,dress,168.28,325,home decor,Nike,17.09,standard,3.5
241,laptop,797.56,304,clothing,Nike,38.48,standard,2.8
242,keyboard,192.78,243,clothing,Adidas,16.58,express,4.5
243,camera,885.49,120,clothing,Adidas,43.95,expedited,4.8
244,hat,155.0,957,beauty,Sony,19.66,standard,3.1
245,dress,851.23,642,beauty,Nike,4.78,standard,1.1
246,printer,151.01,751,sports,Sony,41.51,standard,3.4
247,jacket,414.29,476,sports,Apple,21.91,standard,2.4
248,gaming console,46.34,204,electronics,Apple,13.17,standard,2.0
249,t-shirt,765.02,442,electronics,Sony,36.07,express,1.6
250,smartwatch,293.97,796,beauty,Sony,12.23,expedited,1.2
251,printer,603.88,582,clothing,Sony,41.09,standard,4.2
252,dress,52.14,301,electronics,Samsung,23.23,expedited,3.8
253,t-shirt,785.58,548,sports,Samsung,14.48,expedited,3.5
254,sunglasses,767.78,644,electronics,Adidas,1.35,standard,3.9
255,scarf,88.69,504,electronics,Apple,0.75,expedited,4.8
256,mouse,20.89,6,electronics,Sony,39.98,standard,3.0
257,mouse,265.49,213,beauty,Nike,49.47,express,3.3
258,scarf,632.77,308,home decor,Adidas,7.62,standard,4.4
259,headphones,261.34,852,electronics,Adidas,41.13,express,3.2
260,sunglasses,849.78,188,sports,Adidas,0.31,express,1.9
261,t-shirt,757.13,550,beauty,Sony,4.45,express,1.5
262,smartphone,214.56,442,beauty,Adidas,2.12,standard,1.1
263,camera,896.86,649,electronics,Apple,23.1,standard,1.8
264,sunglasses,946.63,368,sports,Adidas,5.19,standard,3.8
265,tablet,365.38,136,clothing,Samsung,35.02,express,4.4
266,backpack,449.27,926,sports,Apple,36.42,express,4.8
267,wallet,60.84,725,electronics,Adidas,4.35,standard,1.4
268,mouse,833.89,883,electronics,Samsung,17.7,expedited,2.3
269,wallet,505.89,773,electronics,Apple,10.3,standard,1.6
270,t-shirt,736.64,913,clothing,Adidas,45.9,standard,3.0
271,sunglasses,522.96,249,sports,Samsung,24.63,expedited,1.4
272,smartphone,514.21,643,sports,Sony,47.45,expedited,3.9
273,printer,608.25,865,sports,Apple,2.38,standard,2.5
274,scarf,120.56,718,electronics,Nike,19.53,express,3.7
275,headphones,219.88,980,electronics,Sony,14.98,express,4.8
276,keyboard,576.3,388,home decor,Nike,49.7,standard,1.6
277,camera,35.64,928,beauty,Apple,25.66,express,2.6
278,sunglasses,444.99,956,beauty,Sony,41.1,express,1.9
279,keyboard,819.94,989,home decor,Sony,43.12,standard,1.5
280,jacket,375.94,791,electronics,Sony,19.3,express,2.8
281,smartphone,496.09,636,beauty,Sony,43.08,expedited,1.3
282,shoes,143.24,634,home decor,Sony,10.67,standard,4.5
283,dress,862.96,868,home decor,Adidas,3.05,express,2.1
284,backpack,150.22,503,electronics,Samsung,32.36,expedited,4.1
285,jeans,73.34,156,clothing,Samsung,16.28,express,3.8
286,mouse,295.84,730,clothing,Nike,46.52,standard,2.4
287,scarf,1.39,652,beauty,Sony,34.59,standard,2.3
288,scarf,249.36,471,electronics,Samsung,29.91,standard,4.7
289,camera,779.65,515,home decor,Sony,33.46,expedited,4.3
290,smartphone,203.5,931,beauty,Adidas,29.79,express,4.5
291,sunglasses,889.38,806,sports,Adidas,28.11,expedited,2.9
292,jacket,261.47,187,home decor,Apple,18.14,expedited,3.5
293,jacket,497.7,79,clothing,Adidas,13.88,expedited,3.9
294,t-shirt,615.38,651,sports,Samsung,1.05,express,3.0
295,camera,737.53,263,home decor,Sony,10.45,express,1.5
296,camera,415.33,370,sports,Samsung,11.51,expedited,1.6
297,scarf,726.28,149,electronics,Sony,6.79,standard,4.2
298,mouse,419.44,81,clothing,Apple,48.87,express,2.7
299,sunglasses,125.7,243,beauty,Apple,39.66,express,1.2
300,tablet,695.0,960,home decor,Adidas,43.45,expedited,1.2
